window,recombination
0,0
1,0.473937096
2,0.235845508
3,0.707536525
4,1.186008972
5,0.943382033
6,0.471691016
7,0.709782604
8,0.943382033
9,0.707536525
10,0.235845508
11,0.943382033
12,0.235845508
13,0.235845508
14,0.943382033
15,0
16,0.714317955
17,0.471691016
18,0.71203948
19,0.471691016
20,1.184816127
21,0.710889676
22,1.181473621
23,0
24,0.471691016
25,0.707536525
26,0.707536525
27,0.946735184
28,0
29,0
30,0
31,0.235845508
32,1.417308484
33,1.181473621
34,1.180345258
35,0.473926451
36,0.236963225
37,0
38,1.667802018
39,0.473926451
40,1.184816127
41,0.950120422
42,0.473926451
43,0.236963225
44,0
45,0
46,0.947852901
47,0
48,1.897973324
49,0.708654242
50,0.473926451
51,0.473926451
52,0.710889676
53,0.473926451
54,0.710889676
55,0.236963225
56,0.710889676
57,0.473926451
58,0.236963225
59,0.476193972
60,0.947852901
61,1.18707285
62,0
63,0
64,0.713146399
65,0
66,0.476183174
67,0
68,2.378735355
69,0.943382033
70,0.471691016
71,0.471691016
72,0
73,0
74,0
75,0.471691016
76,0
77,0
78,0.709782604
79,0.471691016
80,0.471691016
81,0.235845508
82,0.945628112
83,0.235845508
84,0
85,0
86,0.235845508
87,0
88,0.471691016
89,0
90,0.471691016
91,0
92,0
93,0.235845508
94,0.471691016
95,1.179227541
96,0
97,0.235845508
98,0.709782604
99,0.235845508
100,0
101,0.235845508
102,1.186008972
103,0.471691016
104,0.950163464
105,0.471691016
106,1.650918558
107,0.471691016
108,0.235845508
109,0.707536525
110,0.471691016
111,0.471691016
112,0.473937096
113,0
114,0
115,0.471691016
116,0
117,0.235845508
118,0.943382033
119,1.417319129
120,0.943382033
121,0.235845508
122,0.235845508
123,0
124,0.235845508
125,0
126,0.471691016
127,0
128,0.707536525
129,0.235845508
130,1.655410716
131,2.129347812
132,2.369728672
133,1.891256225
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0.235845508
142,0.235845508
143,1.179227541
144,0.471691016
145,0
146,0
147,0.943382033
148,0.471691016
149,0
150,0.943382033
151,0.707536525
152,0.945628112
153,0.471691016
154,0.707536525
155,0.235845508
156,0.471691016
157,0
158,0.235845508
159,1.653164637
160,0.235845508
161,0.235845508
162,1.179227541
163,1.179227541
164,1.181473621
165,0.235845508
166,0.473937096
167,0.945628112
168,0.235845508
169,0.707536525
170,0.707536525
171,0
172,0.471691016
173,0.943382033
174,1.1837197
175,0.471691016
176,0.235845508
177,0
178,0.235845508
179,0.471691016
180,0
181,0
182,0.235845508
183,0.471691016
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0.473937096
225,0
226,0
227,0
228,0
229,0
230,0.235845508
231,0.235845508
232,0.945628112
233,0.471691016
234,0
235,0.945628112
236,0.471691016
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0.235845508
245,0.471691016
246,0.471691016
247,0
248,0.471691016
249,0.235845508
250,0
251,0
252,0.709782604
253,0.235845508
254,0.235845508
255,0.471691016
256,0
257,0.707536525
258,0.471691016
259,0.235845508
260,0
261,0.235845508
262,0
263,0.235845508
264,0.235845508
265,0.709782604
266,1.179227541
267,0.471691016
268,0.943382033
269,0.235845508
270,0.943382033
271,3.576478267
272,2.124855654
273,0
274,0.707536525
275,0.471691016
276,0.707536525
277,0.235845508
278,1.653164637
279,1.181473621
280,0.235845508
281,0.235845508
282,0
283,0.235845508
284,0.235845508
285,0.707536525
286,0.471691016
287,0.943382033
288,0
289,0.235845508
290,0.235845508
291,1.179227541
292,0.235845508
293,0.235845508
294,0.707536525
295,0.709782604
296,0.471691016
297,0.471691016
298,0.235845508
299,0
300,0.235845508
301,0
302,0.235845508
303,0.707536525
304,0.707536525
305,0.707536525
306,0
307,0.473937096
308,0.943382033
309,0.707536525
310,0.709782604
311,0
312,0.945628112
313,0.235845508
314,1.650918558
315,0.235845508
316,0.471691016
317,0.235845508
318,0.709782604
319,0.235845508
320,1.415073049
321,0
322,0
323,0.709782604
324,1.886764066
325,0.707536525
326,0.471691016
327,0.471691016
328,0.235845508
329,0.235845508
330,0
331,0
332,0
333,0
334,0.709782604
335,0
336,0.943382033
337,0
338,0.471691016
339,0.235845508
340,0
341,0.472808734
342,0.950120422
343,0.235845508
344,1.419565208
345,1.415073049
346,0.943382033
347,0.235845508
348,0.235845508
349,0.473937096
350,1.417319129
351,1.895791576
352,0.235845508
353,0.943382033
354,0.709782604
355,0
356,0
357,0.709782604
358,0.707536525
359,0.709782604
360,1.889010145
361,0
362,1.179227541
363,1.181473621
364,0
365,0.943382033
366,0
367,0
368,0.943382033
369,0.709782604
370,0.473937096
371,1.1837197
372,0.707536525
373,0.235845508
374,0.707536525
375,0.235845508
376,0.473937096
377,0.473926451
378,1.419565208
379,2.859783396
380,0.235845508
381,0.471691016
382,0.714317955
383,0
384,0
385,0
386,0
387,0
388,0
